127.0.0.1 - - [08/Mar/2017:04:30:48 +0100] "GET /table?name=roadmaps.project HTTP/1.1" 200 23143
127.0.0.1 - - [08/Mar/2017:04:30:48 +0100] "GET /style/planets/adminTable/admintable.css HTTP/1.1" 200 2319
127.0.0.1 - - [08/Mar/2017:04:33:09 +0100] "GET /no.php HTTP/1.1" 200 872
127.0.0.1 - - [08/Mar/2017:04:40:24 +0100] "GET /no.php HTTP/1.1" 200 9571
127.0.0.1 - - [08/Mar/2017:04:46:29 +0100] "GET /no.php HTTP/1.1" 200 420
127.0.0.1 - - [08/Mar/2017:04:46:57 +0100] "GET /no.php HTTP/1.1" 200 9559
127.0.0.1 - - [08/Mar/2017:04:47:45 +0100] "GET /no.php HTTP/1.1" 200 10997
127.0.0.1 - - [08/Mar/2017:04:58:41 +0100] "GET /no.php HTTP/1.1" 200 1036
127.0.0.1 - - [08/Mar/2017:05:02:51 +0100] "GET /no.php HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2017:05:03:09 +0100] "GET /calendrier HTTP/1.1" 200 1116245
127.0.0.1 - - [08/Mar/2017:05:03:09 +0100] "GET /style/roadmaps.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:03:14 +0100] "GET /services/roadmaps.php?action=calendrier-project-change&id=4 HTTP/1.1" 200 4
127.0.0.1 - - [08/Mar/2017:05:03:14 +0100] "GET /calendrier HTTP/1.1" 200 1118535
127.0.0.1 - - [08/Mar/2017:05:03:14 +0100] "GET /style/style.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:03:14 +0100] "GET /style/layout.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:03:14 +0100] "GET /style/pastel-theme.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:03:14 +0100] "GET /libs/jquery-ui-1.12.1/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:03:14 +0100] "GET /libs/zquery/zquery.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:03:14 +0100] "GET /libs/jquery-ui-1.12.1/external/jquery/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:03:14 +0100] "GET /libs/jquery-ui-1.12.1/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:03:14 +0100] "GET /libs/split/split.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:03:14 +0100] "GET /style/roadmaps.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:03:14 +0100] "GET /iconfont/material-icons.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:03:14 +0100] "GET /libs/screendebug/css/screendebug.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:03:14 +0100] "GET /libs/screendebug/js/screendebug.js HTTP/1.1" 304 -
